Method,Task,Primary Metric Rationale,Seeds,Result Pattern,Accuracy,Precision,Recall,F1,Macro-F1,AUPRC,AUROC
TF-IDF + LR,Density Stage 1,binary evidence detection; threshold calibrated; main text reports F1/AUPRC/AUROC,"5 (13,42,87,3407,31415)",tfidf_lr_density_stage1_results_planb_full_seed*.json,83.96 +/- 0.00,44.78 +/- 0.00,89.83 +/- 0.00,59.77 +/- 0.00,74.88 +/- 0.00,63.70 +/- 0.00,93.04 +/- 0.00
TF-IDF + LR,Density Stage 2,multi-class density subtype classification; main text reports Macro-F1,"5 (13,42,87,3407,31415)",tfidf_lr_density_stage2_results_planb_full_seed*.json,87.59 +/- 0.00,--,--,--,79.11 +/- 0.00,--,--
TF-IDF + LR,Has-size,binary field extraction; main text reports F1,"5 (13,42,87,3407,31415)",tfidf_lr_size_results_planb_full_seed*.json,90.04 +/- 0.00,78.48 +/- 0.00,99.67 +/- 0.00,87.82 +/- 0.00,--,--,--
TF-IDF + LR,Location,multi-class location extraction; main text reports Macro-F1,"5 (13,42,87,3407,31415)",tfidf_lr_location_results_planb_full_seed*.json,36.32 +/- 0.00,--,--,--,49.41 +/- 0.00,--,--
TF-IDF + SVM,Density Stage 1,binary evidence detection; threshold calibrated; main text reports F1/AUPRC/AUROC,"5 (13,42,87,3407,31415)",tfidf_svm_density_stage1_results_planb_full_seed*.json,85.05 +/- 0.00,46.55 +/- 0.00,85.85 +/- 0.00,60.37 +/- 0.00,75.58 +/- 0.00,65.43 +/- 0.00,92.61 +/- 0.00
TF-IDF + SVM,Density Stage 2,multi-class density subtype classification; main text reports Macro-F1,"5 (13,42,87,3407,31415)",tfidf_svm_density_stage2_results_planb_full_seed*.json,89.37 +/- 0.00,--,--,--,81.41 +/- 0.00,--,--
TF-IDF + SVM,Has-size,binary field extraction; main text reports F1,"5 (13,42,87,3407,31415)",tfidf_svm_size_results_planb_full_seed*.json,89.82 +/- 0.00,77.99 +/- 0.00,99.91 +/- 0.00,87.60 +/- 0.00,--,--,--
TF-IDF + SVM,Location,multi-class location extraction; main text reports Macro-F1,"5 (13,42,87,3407,31415)",tfidf_svm_location_results_planb_full_seed*.json,36.55 +/- 0.00,--,--,--,47.80 +/- 0.00,--,--
TF-IDF + MLP,Density Stage 1,binary evidence detection; threshold calibrated; main text reports F1/AUPRC/AUROC,"5 (13,42,87,3407,31415)",tfidf_mlp_density_stage1_results_planb_full_seed*.json,87.06 +/- 0.19,50.73 +/- 0.45,82.80 +/- 0.49,62.91 +/- 0.28,77.54 +/- 0.20,65.63 +/- 0.98,93.15 +/- 0.13
TF-IDF + MLP,Density Stage 2,multi-class density subtype classification; main text reports Macro-F1,"5 (13,42,87,3407,31415)",tfidf_mlp_density_stage2_results_planb_full_seed*.json,87.47 +/- 0.18,--,--,--,78.08 +/- 0.36,--,--
TF-IDF + MLP,Has-size,binary field extraction; main text reports F1,"5 (13,42,87,3407,31415)",tfidf_mlp_size_results_planb_full_seed*.json,87.67 +/- 1.23,74.74 +/- 1.89,99.40 +/- 0.13,85.32 +/- 1.26,--,--,--
TF-IDF + MLP,Location,multi-class location extraction; main text reports Macro-F1,"5 (13,42,87,3407,31415)",tfidf_mlp_location_results_planb_full_seed*.json,36.20 +/- 0.07,--,--,--,60.57 +/- 1.09,--,--
Vanilla PubMedBERT,Density Stage 1,binary evidence detection; threshold calibrated; main text reports F1/AUPRC/AUROC,"5 (13,42,87,3407,31415)",vanilla_pubmedbert_density_stage1_results_planb_full_seed*.json,96.44 +/- 2.84,80.65 +/- 12.01,99.44 +/- 0.53,88.68 +/- 7.87,93.28 +/- 4.80,98.70 +/- 0.56,99.75 +/- 0.20
Vanilla PubMedBERT,Density Stage 2,multi-class density subtype classification; main text reports Macro-F1,"5 (13,42,87,3407,31415)",vanilla_pubmedbert_density_stage2_results_planb_full_seed*.json,95.82 +/- 1.51,--,--,--,91.19 +/- 0.82,--,--
Vanilla PubMedBERT,Has-size,binary field extraction; main text reports F1,"5 (13,42,87,3407,31415)",vanilla_pubmedbert_size_results_planb_full_seed*.json,84.33 +/- 1.08,69.70 +/- 1.46,100.00 +/- 0.00,82.14 +/- 1.01,--,--,--
Vanilla PubMedBERT,Location,multi-class location extraction; main text reports Macro-F1,"5 (13,42,87,3407,31415)",vanilla_pubmedbert_location_results_planb_full_seed*.json,98.82 +/- 0.31,--,--,--,97.39 +/- 0.53,--,--
SciBERT,Density Stage 1,binary evidence detection; threshold calibrated; main text reports F1/AUPRC/AUROC,0,scibert_density_stage1_results_extra_plm_seed*.json,--,--,--,--,--,--,--
SciBERT,Density Stage 2,multi-class density subtype classification; main text reports Macro-F1,0,scibert_density_stage2_results_extra_plm_seed*.json,--,--,--,--,--,--,--
