参数组,参数类型,取值,Seeds,Density Stage 1 AUPRC,Density Stage 2 Macro-F1,中文说明
P1 max_seq_length,数值型长度扫描,64,5,98.19 +/- 0.69,89.64 +/- 1.18,P1 长度扫描；Stage 1 只报告 AUPRC，避免不同阈值设置下的 F1 不可比。
P1 max_seq_length,数值型长度扫描,96,5,98.10 +/- 0.50,90.89 +/- 0.57,P1 长度扫描；Stage 1 只报告 AUPRC，避免不同阈值设置下的 F1 不可比。
P1 max_seq_length,数值型长度扫描,128,5,98.82 +/- 0.41,91.05 +/- 0.54,P1 长度扫描；Stage 1 只报告 AUPRC，避免不同阈值设置下的 F1 不可比。
P1 max_seq_length,数值型长度扫描,160,5,98.79 +/- 0.41,91.17 +/- 0.38,P1 长度扫描；Stage 1 只报告 AUPRC，避免不同阈值设置下的 F1 不可比。
P1 max_seq_length,数值型长度扫描,192,5,98.80 +/- 0.51,91.70 +/- 0.49,P1 长度扫描；Stage 1 只报告 AUPRC，避免不同阈值设置下的 F1 不可比。
P2 quality gate,类别型设计选择,G1,5,99.09 +/- 0.18,94.58 +/- 0.37,类别型设计选择，不是连续数值参数；用于比较 gate 策略。
P2 quality gate,类别型设计选择,G2,5,98.82 +/- 0.41,91.05 +/- 0.54,类别型设计选择，不是连续数值参数；用于比较 gate 策略。
P2 quality gate,类别型设计选择,G3 (selected),5,99.35 +/- 0.20,96.83 +/- 0.18,类别型设计选择，不是连续数值参数；用于比较 gate 策略。
P2 quality gate,类别型设计选择,G4,5,98.80 +/- 0.28,91.32 +/- 0.81,类别型设计选择，不是连续数值参数；用于比较 gate 策略。
P2 quality gate,类别型设计选择,G5,5,99.09 +/- 0.27,88.62 +/- 1.22,类别型设计选择，不是连续数值参数；用于比较 gate 策略。
P3 section/input strategy,类别型设计选择,Mention only,5,41.84 +/- 8.80,74.09 +/- 2.31,类别型设计选择，不是连续数值参数；用于比较输入构造策略。
P3 section/input strategy,类别型设计选择,Section-aware (selected),5,98.82 +/- 0.41,91.05 +/- 0.54,类别型设计选择，不是连续数值参数；用于比较输入构造策略。
P3 section/input strategy,类别型设计选择,Findings only,5,78.29 +/- 2.99,86.22 +/- 0.75,类别型设计选择，不是连续数值参数；用于比较输入构造策略。
P3 section/input strategy,类别型设计选择,Impression only,5,88.15 +/- 2.92,89.80 +/- 1.85,类别型设计选择，不是连续数值参数；用于比较输入构造策略。
P3 section/input strategy,类别型设计选择,Findings + impression,5,79.33 +/- 4.64,86.76 +/- 0.32,类别型设计选择，不是连续数值参数；用于比较输入构造策略。
P3 section/input strategy,类别型设计选择,Full text,5,79.33 +/- 4.64,86.76 +/- 0.32,类别型设计选择，不是连续数值参数；用于比较输入构造策略。
