metric,value
total_input_cases,253
emitted_recommendations,253
error_count,0
schema_valid_count,253
schema_valid_rate,1.000000
guideline_anchor_nonempty_count,253
guideline_anchor_nonempty_rate,1.000000
reasoning_path_nonempty_count,253
reasoning_path_nonempty_rate,1.000000
abstention_count,205
abstention_rate,0.810277
recommendation_level.insufficient_data,205
recommendation_level.routine_screening,34
recommendation_level.short_interval_followup,12
recommendation_level.tissue_sampling,2
lung_rads_category.2,34
lung_rads_category.3,8
lung_rads_category.4A,4
lung_rads_category.4B,2
lung_rads_category.None,205
abstention_reason.None,48
abstention_reason.missing_nodule_density,122
abstention_reason.missing_nodule_size,76
abstention_reason.no_structured_nodule,7
missing_information.density_category,122
missing_information.nodule,7
missing_information.nodule_size,76
missing_information.smoking_eligibility,242
missing_information.solid_component_mm,1
