metric,value
total_cases,253
cdsg_schema_valid_count,253
cdsg_schema_valid_rate,1.000000
exact_match_count,109
exact_match_rate,0.430830
recommendation_match_count,109
recommendation_match_rate,0.430830
category_match_count,109
category_match_rate,0.430830
hard_evaluable_count,48
hard_evaluable_recommendation_match_rate,0.541667
hard_evaluable_category_match_rate,0.541667
strict_hard_comparable_count,20
strict_hard_comparable_recommendation_match_rate,1.000000
strict_hard_comparable_category_match_rate,1.000000
flat_density_fallback_count,150
flat_insufficient_count,83
cdsg_abstention_count,205
cdsg_abstention_rate,0.810277
mismatch_count,144
cdsg_abstention_reason.missing_nodule_density,122
cdsg_abstention_reason.missing_nodule_size,76
cdsg_abstention_reason.no_structured_nodule,7
mismatch_reason.case_bundle_density_missing_or_unclear__cdsg_abstains__flat_solid_fallback,122
mismatch_reason.dominant_selection_delta_from_flat_density_fallback,22
