metric,value
input_cases,253
output_cases,253
phase4_radiology_notes,500
size_probability_rows_loaded,49876
phase4_aligned_mentions,2018
cases_with_module2_candidates,199
candidate_nodules_appended,978
candidate_with_density,213
candidate_with_size,648
candidate_with_location,724
unmatched_rows,1040
density_model_tag,density_final_g3_len128_seed42
size_model_tag,size_wave5_lexical_alone_probabilities
location_model_tag,planb_full_seed42
size_probability_threshold,0.724461
density_location_per_sample_prediction_note,aggregate_result_json_has_no_per_sample_predictions; adapter_uses_phase5_mention_fact_fields_with_source_tags
density_test_rows_note_not_in_phase4,41888
density_test_rows_seen,42057
density_train_rows_note_not_in_phase4,200519
density_train_rows_seen,201947
density_val_rows_note_not_in_phase4,44469
density_val_rows_seen,44890
location_test_rows_note_not_in_phase4,41888
location_test_rows_seen,42057
location_train_rows_note_not_in_phase4,200519
location_train_rows_seen,201947
location_val_rows_note_not_in_phase4,44469
location_val_rows_seen,44890
phase4_aligned_mentions,2018
size_test_rows_note_not_in_phase4,41888
size_test_rows_seen,42057
size_train_rows_note_not_in_phase4,200519
size_train_rows_seen,201947
size_val_rows_note_not_in_phase4,44469
size_val_rows_seen,44890
unmatched_reason.no_direct_module2_fact,604
unmatched_reason.no_pulmonary_nodule_cue,258
unmatched_reason.non_pulmonary_mention_filtered,178
