metric,value
input_cases,253
output_cases,253
phase4_radiology_notes,500
phase4_aligned_mentions,2018
cases_with_module2_candidates,200
candidate_nodules_appended,1122
note_aggregate_candidates_appended,119
candidate_with_density,323
candidate_with_size,756
candidate_with_location,840
conflict_rows,289
unmatched_rows,1015
adapter_version,module3_m2_adapter_v2
no_deterministic_rule_override,True
aligned.density_stage1,2018
aligned.density_stage2,2018
aligned.location,2018
aligned.size,2018
phase4_aligned_mentions,2018
prediction_rows.module2_density_stage1_predictions.jsonl,2018
prediction_rows.module2_density_stage2_predictions.jsonl,2018
prediction_rows.module2_location_predictions.jsonl,2018
prediction_rows.module2_size_predictions.jsonl,2018
unmatched.no_direct_module2_fact,604
unmatched.no_pulmonary_nodule_cue,164
unmatched.non_pulmonary_mention_filtered,247
