split,dimension,label,count,fraction_within_split
train,recommendation_level,insufficient_data,141,0.801136
train,recommendation_level,routine_screening,26,0.147727
train,recommendation_level,short_interval_followup,8,0.045455
train,recommendation_level,tissue_sampling,1,0.005682
train,lung_rads_category,2,26,0.147727
train,lung_rads_category,3,5,0.028409
train,lung_rads_category,4A,3,0.017045
train,lung_rads_category,4B,1,0.005682
train,lung_rads_category,None,141,0.801136
train,abstention_reason,None,35,0.198864
train,abstention_reason,missing_nodule_density,90,0.511364
train,abstention_reason,missing_nodule_size,46,0.261364
train,abstention_reason,no_structured_nodule,5,0.028409
val,recommendation_level,insufficient_data,30,0.789474
val,recommendation_level,routine_screening,6,0.157895
val,recommendation_level,short_interval_followup,2,0.052632
val,lung_rads_category,2,6,0.157895
val,lung_rads_category,3,1,0.026316
val,lung_rads_category,4A,1,0.026316
val,lung_rads_category,None,30,0.789474
val,abstention_reason,None,8,0.210526
val,abstention_reason,missing_nodule_density,19,0.500000
val,abstention_reason,missing_nodule_size,10,0.263158
val,abstention_reason,no_structured_nodule,1,0.026316
test,recommendation_level,insufficient_data,31,0.794872
test,recommendation_level,routine_screening,5,0.128205
test,recommendation_level,short_interval_followup,2,0.051282
test,recommendation_level,tissue_sampling,1,0.025641
test,lung_rads_category,2,5,0.128205
test,lung_rads_category,3,1,0.025641
test,lung_rads_category,4A,1,0.025641
test,lung_rads_category,4B,1,0.025641
test,lung_rads_category,None,31,0.794872
test,abstention_reason,None,8,0.205128
test,abstention_reason,missing_nodule_density,20,0.512821
test,abstention_reason,missing_nodule_size,10,0.256410
test,abstention_reason,no_structured_nodule,1,0.025641
