metric,value
total_samples,253
total_patient_or_case_groups,253
split_unit,patient_id_or_subject_id_else_case_id
seed,42
train_samples,176
val_samples,38
test_samples,39
train_fraction,0.695652
val_fraction,0.150198
test_fraction,0.154150
split_leakage_count,0
actionable_samples,51
min_actionable_category_count,2
imbalance_warning,actionable_labels_are_small_or_imbalanced
label_key.abstain:missing_nodule_density,129
label_key.abstain:missing_nodule_size,66
label_key.abstain:no_structured_nodule,7
label_key.category:2,37
label_key.category:3,7
label_key.category:4A,5
label_key.category:4B,2
