dimension,label,count,fraction
recommendation_level,insufficient_data,202,0.798419
recommendation_level,routine_screening,37,0.146245
recommendation_level,short_interval_followup,12,0.047431
recommendation_level,tissue_sampling,2,0.007905
lung_rads_category,2,37,0.146245
lung_rads_category,3,7,0.027668
lung_rads_category,4A,5,0.019763
lung_rads_category,4B,2,0.007905
lung_rads_category,None,202,0.798419
risk_category,benign_or_indolent,37,0.146245
risk_category,insufficient_data,202,0.798419
risk_category,probably_benign,7,0.027668
risk_category,suspicious,5,0.019763
risk_category,very_suspicious,2,0.007905
abstention_reason,None,51,0.201581
abstention_reason,missing_nodule_density,129,0.509881
abstention_reason,missing_nodule_size,66,0.260870
abstention_reason,no_structured_nodule,7,0.027668
