dimension,label,count,fraction
recommendation_level,insufficient_data,178,0.703557
recommendation_level,routine_screening,54,0.213439
recommendation_level,short_interval_followup,17,0.067194
recommendation_level,tissue_sampling,4,0.015810
lung_rads_category,2,54,0.213439
lung_rads_category,3,9,0.035573
lung_rads_category,4A,8,0.031621
lung_rads_category,4B,4,0.015810
lung_rads_category,None,178,0.703557
risk_category,benign_or_indolent,54,0.213439
risk_category,insufficient_data,178,0.703557
risk_category,probably_benign,9,0.035573
risk_category,suspicious,8,0.031621
risk_category,very_suspicious,4,0.015810
abstention_reason,None,75,0.296443
abstention_reason,missing_nodule_density,105,0.415020
abstention_reason,missing_nodule_size,66,0.260870
abstention_reason,no_structured_nodule,7,0.027668
