metric,value
total_samples,253
schema_valid_count,253
schema_valid_rate,1.000000
actionable_count,75
actionable_rate,0.296443
abstention_count,178
abstention_rate,0.703557
guideline_anchor_nonempty_count,253
guideline_anchor_nonempty_rate,1.000000
reasoning_path_nonempty_count,253
reasoning_path_nonempty_rate,1.000000
label_source,cdsg_strong_silver
cdsg_graph_version,0.1.0
cdsg_graph_id,lung_rads_v2022_cdsg_mvp
missing_information.density_category,105
missing_information.nodule,7
missing_information.nodule_size,66
missing_information.smoking_eligibility,242
missing_information.solid_component_mm,1
